Institution,Conference,G,W,L,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,IP,CG,H-A,R-A,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,SHA,SFA,GO,FO,SV,KL,pickoffs
Arizona,Pac-12,63,45,18,0.325,0.422,537,"2,268",737,145,30,"1,152",70,497,319,90,38,17,501,63,11,3,31,8,567.1,2,575,344,290,246,590,2,"2,563","2,207",109,8,13,30,70,53,11,33,23,524,522,17,170,10
Arkansas,SEC,63,50,13,0.267,0.387,483,"2,094",560,100,11,"1,009",109,433,360,70,36,10,567,35,9,6,44,8,558,,467,257,234,218,657,5,"2,365","2,067",59,7,2,54,49,49,3,17,13,469,471,20,169,3
DBU,MVC,59,41,18,0.285,0.395,451,"1,919",547,118,6,980,101,417,305,57,22,17,460,32,20,7,85,8,504.1,1,431,276,240,248,556,6,"2,229","1,875",88,8,3,58,57,62,9,30,12,401,493,12,135,6
East Carolina,AAC,61,44,17,0.294,0.387,409,"2,022",595,97,8,936,76,365,272,45,20,43,430,48,33,3,60,4,536,1,480,264,239,210,626,5,"2,336","2,011",72,5,4,48,54,69,9,28,17,476,446,19,160,4
LSU,SEC,63,38,25,0.273,0.361,414,"2,165",591,95,17,999,93,384,244,69,25,24,538,39,23,6,52,13,564.2,2,546,315,284,216,568,5,"2,484","2,170",107,12,5,61,50,62,13,18,16,544,504,9,161,1
Mississippi St.,SEC,68,50,18,0.278,0.375,476,"2,316",644,122,13,"1,017",75,437,306,73,31,13,455,57,18,1,74,8,603.2,,494,304,271,266,817,8,"2,597","2,247",77,7,6,72,69,49,8,22,13,474,454,18,218,2
NC State,ACC,56,37,19,0.286,0.367,385,"1,959",560,102,14,966,92,343,235,27,17,25,478,29,16,7,75,5,500,1,449,299,273,195,493,3,"2,155","1,891",100,5,5,73,39,49,,11,9,456,493,16,145,4
Nebraska,Big Ten,48,34,14,0.279,0.379,335,"1,637",456,75,9,726,59,296,223,48,12,34,429,26,15,6,65,1,424.2,1,372,200,180,165,440,6,"1,818","1,578",69,6,,42,32,49,4,13,12,385,387,12,126,13
Notre Dame,ACC,47,34,13,0.281,0.379,332,"1,605",451,89,11,760,66,308,211,53,20,23,403,26,23,6,63,15,421,2,383,205,185,190,370,6,"1,827","1,577",63,3,2,41,31,37,5,13,10,439,388,15,95,1
Ole Miss,SEC,67,45,22,0.288,0.385,478,"2,278",656,109,9,"1,038",85,437,295,87,34,3,570,58,21,3,44,15,586.1,1,576,354,312,221,765,5,"2,597","2,292",113,13,6,82,45,44,3,19,20,390,554,20,215,10
South Fla.,AAC,61,31,30,0.262,0.355,322,"2,042",535,91,9,815,57,297,231,81,31,37,528,41,21,5,38,8,538.1,1,500,308,249,219,553,6,"2,383","2,062",97,18,4,40,57,56,12,24,20,480,532,13,152,4
Stanford,Pac-12,56,39,17,0.283,0.368,380,"1,999",566,101,4,930,85,353,237,45,21,15,483,42,16,9,50,10,510.2,3,466,292,263,228,481,5,"2,246","1,915",89,10,2,48,48,57,9,25,20,453,542,17,138,8
Tennessee,SEC,68,50,18,0.279,0.383,475,"2,357",657,134,12,"1,109",98,440,336,79,27,23,573,37,18,9,72,11,614.2,,545,291,240,170,617,3,"2,562","2,303",81,2,3,74,47,45,2,26,17,567,582,18,178,13
Texas,Big 12,67,50,17,0.275,0.394,450,"2,186",601,126,14,959,68,417,379,74,33,51,578,31,23,6,92,5,595.2,,467,211,194,214,566,5,"2,460","2,169",85,13,3,36,34,43,6,15,18,669,465,16,162,2
Texas Tech,Big 12,56,39,17,0.271,0.394,421,"1,858",504,107,16,913,90,377,322,68,23,8,528,39,8,5,49,9,491.1,,439,276,235,225,543,4,"2,146","1,828",78,11,5,48,58,54,,21,16,426,422,14,141,5
Vanderbilt,SEC,67,49,18,0.285,0.378,454,"2,291",653,130,21,"1,101",92,433,301,53,17,33,620,54,12,10,92,5,598,2,416,267,230,248,790,8,"2,513","2,174",87,,6,76,53,64,,13,12,461,485,24,233,3
Virginia,ACC,63,36,27,0.266,0.354,356,"2,145",570,107,9,848,51,322,238,62,15,40,441,39,19,3,67,7,560,,500,266,225,246,687,6,"2,441","2,098",82,3,5,59,47,54,13,24,19,436,482,10,198,11