Player,POS,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Salvador Perez,C,KC,161,620,88,169,24,0,48,121,28,170,1,0,0.273,0.316,0.544,0.859
Bryce Harper,RF,PHI,141,488,101,151,42,1,35,84,100,134,13,3,0.309,0.429,0.615,1.044
Vladimir Guerrero,1B,TOR,161,604,123,188,29,1,48,111,86,110,4,1,0.311,0.401,0.601,1.002
Juan Soto,RF,WSH,151,502,111,157,20,2,29,95,145,93,9,7,0.313,0.465,0.534,0.999
Fernando Tatis,SS,SD,130,478,99,135,31,0,42,97,62,153,25,4,0.282,0.364,0.611,0.975
Shohei Ohtani,DH,LAA,155,537,103,138,26,8,46,100,96,189,26,10,0.257,0.372,0.592,0.965
Nick Castellanos,RF,CIN,138,531,95,164,38,1,34,100,41,121,3,1,0.309,0.362,0.576,0.939
Joey Votto,1B,CIN,129,448,73,119,23,1,36,99,77,127,1,0,0.266,0.375,0.563,0.938
Kyle Tucker,RF,HOU,140,506,83,149,37,3,30,92,53,90,14,2,0.294,0.359,0.557,0.917
Aaron Judge,RF,NYY,148,550,89,158,24,0,39,98,75,158,6,1,0.287,0.373,0.544,0.916
Bryan Reynolds,CF,PIT,159,559,93,169,35,8,24,90,75,119,5,2,0.302,0.39,0.522,0.912
Tyler O'Neill,LF,STL,138,482,89,138,26,2,34,80,38,168,15,4,0.286,0.352,0.56,0.912
Matt Olson,1B,OAK,156,565,101,153,35,0,39,111,88,113,4,1,0.271,0.371,0.54,0.911
Trea Turner,2B,LAD,148,595,107,195,34,3,28,77,41,110,32,5,0.328,0.375,0.536,0.911
C.J. Cron,1B,COL,142,470,70,132,31,1,28,92,60,117,1,0,0.281,0.375,0.53,0.905
Austin Riley,3B,ATL,160,590,91,179,33,1,33,107,52,168,0,1,0.303,0.367,0.531,0.898